CustomerID,TransactionID,TransactionDT,TransactionAmt,CardType,isRetention,Frequency
0,2987003,86499,50.0,platinum,1,0.5243513456367775
1,2987006,86522,159.0,gold,1,-0.009627926962653188
2,2987009,86536,117.0,platinum,1,0.26606447303667224
3,2987017,86668,100.0,platinum,1,0.27960633782498895
4,2987029,86979,36.99,gold,1,0.1792086075045152
5,2987030,86994,35.0,gold,1,0.8861658034139953
6,2987045,87275,36.95,gold,1,0.7304812410870558
7,2987054,87401,34.0,gold,1,0.7097935048994329
8,2987068,87667,3.0810000000000004,gold,1,0.17920377161720058
9,2987094,88107,527.0,gold,1,0.579470061287283
10,2987096,88131,108.5,gold,1,0.4545480986974343
11,2987105,88229,5.075,gold,1,0.12192708308421937
12,2987111,88383,18.186,platinum,1,0.8101398530301184
13,2987140,88743,208.43,platinum,1,0.6623834150315958
14,2987143,88778,100.0,gold,1,0.9590704614856522
15,2987151,88897,49.0,gold,1,1.163868799602084
16,2987166,89147,26.5,platinum,1,0.8150292879228728
17,2987170,89189,20.0,gold,1,0.6717023292059935
18,2987173,89230,25.0,gold,1,0.7708499315765882
19,2987174,89250,107.95,gold,1,0.392494008850451
20,2987182,89439,311.95,gold,1,0.8488778591871768
21,2987213,89867,499.95,gold,1,0.4201241811633955
22,2987236,90149,30.0,gold,1,0.318651172759008
23,2987282,90828,50.0,gold,1,0.6499505436292565
24,2987285,90892,34.0,platinum,1,0.47130260550185626
25,2987286,90946,72.99,gold,1,-0.1110225683351781
26,2987310,91339,105.0,gold,1,0.6456486286871845
27,2987314,91359,54.0,platinum,1,-0.035355866711893086
28,2987333,91760,30.0,gold,1,0.7105741030095409
29,2987334,91790,524.0,gold,1,0.41872157522988107
30,2987370,92406,160.5,gold,1,0.18344229256473293
31,2987376,92509,30.0,gold,1,0.09003052469667511
32,2987394,92760,344.95,gold,1,0.10211337668653703
33,2987398,92896,15.468,platinum,1,0.4689742006752795
34,2987399,92897,54.29,gold,1,0.4790579893212624
35,2987416,93218,35.0,gold,1,0.8367015881212628
36,2987417,93270,315.0,gold,1,0.7819509026984747
37,2987450,93894,15.0,gold,1,0.15682797602583898
38,2987491,94719,150.0,gold,1,0.514491512382239
39,2987502,94888,68.95,gold,1,0.2865438300458312
40,2987503,94908,36.95,platinum,1,0.4756924248063035
41,2987507,94997,120.0,platinum,1,0.9833214124462878
42,2987518,95326,367.95,gold,1,0.5152365395174109
43,2987544,95877,125.0,gold,1,0.09638417175346092
44,2987546,95935,35.0,gold,1,0.9087761281308686
45,2987560,96307,203.37400000000002,gold,1,0.1395312116561531
46,2987579,96522,57.821999999999996,gold,1,0.7542315012766131
47,2987584,96667,32.325,platinum,1,0.6200971832419557
48,2987586,96703,107.95,gold,1,0.24463972964434372
49,2987598,96922,34.016999999999996,gold,1,0.297982856089196
50,2987610,97293,50.0,gold,1,0.2655531899573054
51,2987617,97419,59.453,platinum,1,0.07472448501526932
52,2987620,97647,150.0,platinum,1,1.0425998488373551
53,2987647,98334,171.0,gold,1,0.04170093112008694
54,2987656,98630,59.0,gold,1,0.6388931470587172
55,2987660,98799,127.788,platinum,1,0.34879881198076235
56,2987662,98833,171.0,gold,1,0.2451180654952842
57,2987667,99094,47.95,gold,1,0.11483707813413062
58,2987684,99610,117.0,gold,1,0.5155948045615016
59,2987688,99625,105.0,gold,1,0.58327590621065
60,2987705,100000,77.0,gold,1,0.4991646718311646
61,2987711,100085,50.0,gold,1,0.8341026369367717
62,2987726,100405,30.0,gold,1,0.6546279987624903
